"barcode"	"Sample.ID"	"k4"
"tcga-24-1847-01"	"TCGA.24.1847.01A.01R"	"Immunoreactive"
"tcga-24-1849-01"	"TCGA.24.1849.01A.01R"	"Mesenchymal"
"tcga-24-1850-01"	"TCGA.24.1850.01A.01R"	"Proliferative"
"tcga-24-1920-01"	"TCGA.24.1920.01A.01R"	"Proliferative"
"tcga-24-1923-01"	"TCGA.24.1923.01A.01R"	"Differentiated"
"tcga-24-1924-01"	"TCGA.24.1924.01A.01R"	"Immunoreactive"
"tcga-24-1928-01"	"TCGA.24.1928.01A.01R"	"Mesenchymal"
"tcga-24-1930-01"	"TCGA.24.1930.01A.01R"	"Immunoreactive"
"tcga-24-2019-01"	"TCGA.24.2019.01A.02R"	"Proliferative"
"tcga-24-2020-01"	"TCGA.24.2020.01A.01R"	"Proliferative"
"tcga-24-2023-01"	"TCGA.24.2023.01A.01R"	"Differentiated"
"tcga-24-2024-01"	"TCGA.24.2024.01A.02R"	"Differentiated"
"tcga-24-2026-01"	"TCGA.24.2026.01A.01R"	"Immunoreactive"
"tcga-24-2027-01"	"TCGA.24.2027.01A.01R"	"Proliferative"
"tcga-24-2029-01"	"TCGA.24.2029.01A.01R"	"Immunoreactive"
"tcga-24-2030-01"	"TCGA.24.2030.01A.01R"	"Proliferative"
"tcga-24-2033-01"	"TCGA.24.2033.01A.01R"	"Mesenchymal"
"tcga-24-2035-01"	"TCGA.24.2035.01A.01R"	"Mesenchymal"
"tcga-24-2036-01"	"TCGA.24.2036.01A.01R"	"Proliferative"
"tcga-24-2038-01"	"TCGA.24.2038.01A.01R"	"Differentiated"
"tcga-24-2254-01"	"TCGA.24.2254.01A.01R"	"Mesenchymal"
"tcga-24-2260-01"	"TCGA.24.2260.01A.01R"	"Proliferative"
"tcga-24-2261-01"	"TCGA.24.2261.01A.01R"	"Immunoreactive"
"tcga-24-2262-01"	"TCGA.24.2262.01A.01R"	"Differentiated"
"tcga-24-2267-01"	"TCGA.24.2267.01A.01R"	"Immunoreactive"
"tcga-24-2271-01"	"TCGA.24.2271.01A.01R"	"Differentiated"
"tcga-24-2280-01"	"TCGA.24.2280.01A.01R"	"Mesenchymal"
"tcga-24-2281-01"	"TCGA.24.2281.01A.01R"	"Immunoreactive"
"tcga-24-2288-01"	"TCGA.24.2288.01A.01R"	"Immunoreactive"
"tcga-24-2289-01"	"TCGA.24.2289.01A.01R"	"Mesenchymal"
"tcga-24-2290-01"	"TCGA.24.2290.01A.01R"	"Immunoreactive"
"tcga-24-2293-01"	"TCGA.24.2293.01A.01R"	"Mesenchymal"
"tcga-24-2297-01"	"TCGA.24.2297.01A.01R"	"Differentiated"
"tcga-24-2298-01"	"TCGA.24.2298.01A.01R"	"Mesenchymal"
"tcga-25-1312-01"	"TCGA.25.1312.01A.01R"	"Proliferative"
"tcga-25-1313-01"	"TCGA.25.1313.01A.01R"	"Immunoreactive"
"tcga-25-1314-01"	"TCGA.25.1314.01A.01R"	"Differentiated"
"tcga-25-1315-01"	"TCGA.25.1315.01A.01R"	"Proliferative"
"tcga-25-1316-01"	"TCGA.25.1316.01A.01R"	"Proliferative"
"tcga-25-1317-01"	"TCGA.25.1317.01A.01R"	"Proliferative"
"tcga-25-1318-01"	"TCGA.25.1318.01A.01R"	"Differentiated"
"tcga-25-1319-01"	"TCGA.25.1319.01A.01R"	"Proliferative"
"tcga-25-1320-01"	"TCGA.25.1320.01A.01R"	"Mesenchymal"
"tcga-25-1321-01"	"TCGA.25.1321.01A.01R"	"Differentiated"
"tcga-25-1322-01"	"TCGA.25.1322.01A.01R"	"Immunoreactive"
"tcga-25-1323-01"	"TCGA.25.1323.01A.01R"	"Proliferative"
"tcga-25-1324-01"	"TCGA.25.1324.01A.01R"	"Proliferative"
"tcga-25-1325-01"	"TCGA.25.1325.01A.01R"	"Proliferative"
"tcga-25-1326-01"	"TCGA.25.1326.01A.01R"	"Mesenchymal"
"tcga-25-1328-01"	"TCGA.25.1328.01A.01R"	"Mesenchymal"
"tcga-25-1329-01"	"TCGA.25.1329.01A.01R"	"Mesenchymal"
"tcga-25-1623-01"	"TCGA.25.1623.01A.01R"	"Mesenchymal"
"tcga-25-1625-01"	"TCGA.25.1625.01A.01R"	"Differentiated"
"tcga-25-1626-01"	"TCGA.25.1626.01A.01R"	"Mesenchymal"
"tcga-25-1627-01"	"TCGA.25.1627.01A.01R"	"Proliferative"
"tcga-25-1628-01"	"TCGA.25.1628.01A.01R"	"Mesenchymal"
"tcga-25-1630-01"	"TCGA.25.1630.01A.01R"	"Immunoreactive"
"tcga-25-1631-01"	"TCGA.25.1631.01A.01R"	"Differentiated"
"tcga-25-1632-01"	"TCGA.25.1632.01A.01R"	"Proliferative"
"tcga-25-1633-01"	"TCGA.25.1633.01A.01R"	"Mesenchymal"
"tcga-25-1634-01"	"TCGA.25.1634.01A.01R"	"Proliferative"
"tcga-25-1635-01"	"TCGA.25.1635.01A.01R"	"Mesenchymal"
"tcga-25-1870-01"	"TCGA.25.1870.01A.01R"	"Proliferative"
"tcga-25-1871-01"	"TCGA.25.1871.01A.01R"	"Proliferative"
"tcga-25-1877-01"	"TCGA.25.1877.01A.01R"	"Proliferative"
"tcga-25-1878-01"	"TCGA.25.1878.01A.01R"	"Immunoreactive"
"tcga-25-2042-01"	"TCGA.25.2042.01A.01R"	"Mesenchymal"
"tcga-25-2391-01"	"TCGA.25.2391.01A.01R"	"Differentiated"
"tcga-25-2392-01"	"TCGA.25.2392.01A.01R"	"Immunoreactive"
"tcga-25-2393-01"	"TCGA.25.2393.01A.01R"	"Proliferative"
"tcga-25-2396-01"	"TCGA.25.2396.01A.01R"	"Immunoreactive"
"tcga-25-2397-01"	"TCGA.25.2397.01A.01R"	"Differentiated"
"tcga-25-2398-01"	"TCGA.25.2398.01A.01R"	"Mesenchymal"
"tcga-25-2399-01"	"TCGA.25.2399.01A.01R"	"Mesenchymal"
"tcga-25-2400-01"	"TCGA.25.2400.01A.01R"	"Proliferative"
